Animation -> 13,Thriller -> 5,War -> 0,Horror -> 24,Documentary -> 16,Biography -> 3,Comedy -> 19,Western -> 2,Fantasy -> 21,Romance -> 25,Family -> 1,Drama -> 20,Short -> 15,Sport -> 14,History -> 22,Film-Noir -> 7,Reality-TV -> 4,Music -> 8,Mystery -> 9,Musical -> 23,Sci-Fi -> 11,Game-Show -> 18,Adventure -> 10,Crime -> 17,Action -> 12,News -> 6
aaron hill,9,5,20
everett sloane,9,5,20,17,7
alan dale,12,5,24,21,11
helen martin,19,20,25,8
scatman crothers,20,24
john stamos,19,13
john meillon,12,19,10
john august,16
orson bean,19,20,21
kelli garner,12,1,19,13,20,17,3,21,10,25,11
maria dizzia,19,20
marko zaror,12,19,5,17
luis antonio,20,3,8
tiffany lamb,12,5,24,11
lindsey haun,1,20,8
wade williams,12,5,20,17
john mahoney,19,20,21,25
samantha barks,1,20
anne bancroft,1,19,13,20,17,3,21,10,25
kristen cloke,20,11
angela cartwright,1,20,3,25,23
anthony l. fernandez,12,17
will beinbrink,12,5,17
alan pietruszewski,15,9,5,20,24,11
pamela anderson,19
kaiwi lyman-mersereau,9,5,20,24,11
samm levine,19,25
james badge dale,0,12,5,20,10
sherri shepherd,19,25
laura san giacomo,20
christopher lee,0,9,1,17,24,10,25,11,12,19,13,5,20,21,22,23
javier botet,9,5,24,21
william gates,16,20,14
lew temple,12,19,5,2,17,20,24,25,22
marlon brando,0,12,19,5,20,17,24,10,25,11
grey griffin,12,13,5,17,11
daniel wu,12,5,20,17
francis capra,9,1,19,20,17,21
michael richards,19,20
leigh whannell,9,5,24,21
diane baker,20
rachel roberts,12,5,10,25,11
mitchell ryan,12,19,5,17,24,25
hayden christensen,12,9,19,5,20,17,3,21,10,25,22,11
amr waked,12,5,20,11
isaac c. singleton jr.,19,16
lino facioli,19,8
john mcmartin,9,5
fran drescher,1,19,13,20,21
lauren ambrose,9,19,24,25
mishael morgan,20,8
rex harrison,1,20,25,23
nancy ison,19,20
oprah winfrey,1,19,13,20,24,3,21,10,25,22,23
kari wuhrer,12,5,24,21,10,11
james kyson,9,5,24
kjell nilsson,12,5,10,11
kirk fox,5,20,17
kath soucie,9,1,19,13,20,21,23
rupert everett,12,1,19,13,20,17,21,10,25,11
mike epps,12,19,5,20,17,24,25,11,8
gyton grantley,0,5,20,24,22
nathan parsons,19,5,24,21
charles halford,5,20,24,21
christopher masterson,12,19,10,25
josh wingate,12,5,24,21,11
john mcgiver,20
stephen dillane,12,5,20,17,25,22,14
claire adams,0,20,25
frida hallgren,19,20,25,8
jennifer lawrence,12,19,5,20,17,24,3,21,10,25,11
susan may pratt,20,25,8
patrick fugit,12,9,19,5,20,17,21,10,25
glenn campbell,5,24,11
keri maletto,12,20,17
amanda macdonald,19,20
timothy bottoms,19,20,25
gaby hoffmann,12,19,5,20,3,10,25,11,23
gaye brown,19,20,25
fernanda machado,12,5,20,17
jack reynor,19,20
eric idle,1,19,13,20,21,10,25,23
herbert lom,9,19,5,17,24,11
deborah kara unger,12,9,5,20,17,24,3,10,14
david jason perez,19,16
shriya saran,19,20,25
johnny cannizzaro,20,3,8,23
james drury,2,20,25
gary lockwood,9,10,11
karolina wydra,9,5,24,21
david mersault,9,5,24,21
wendy crewson,1,20,3,10,22
ezra miller,19,5,20,25
diana vickers,20,3,10,25
demián bichir,12,19,5,20,17,25
usher raymond,12,16,5,2,20,10,8
nathaniel parker,1,19,5,17,21,10,25
mackenzie foy,9,1,19,13,5,20,17,24,21,10,11
hansika motwani,19,25
ashley williams,12,19,5,20,17,3,25
claudia lapacó,20
pat hingle,12,5,2
alice krige,9,1,19,5,20,17,24,3,21,10,14
neville brand,2,20,25
paul t. taylor,19,20,17
bin won,0,12,20
chulpan khamatova,20,25
michelle tabora,12,19,20,11
ari graynor,19,20,25,8
irvin kershner,20
harry connick jr.,12,9,1,19,13,5,20,17,10,25,11
andrew fiscella,12,5,17,24,11
mary goggin,1,19,25
jake weary,9,24
chi ling chiu,12,19,17,21
lou saliba,19,20
texas battle,12,5,21,10,11
clifton collins jr.,12,9,1,19,5,20,17,24,10,25,14,11
karan brar,1,19,13,10,11
dustin nguyen,12,1,19
aasheekaa bathija,20
trey parker,12,19,13,21,11,23
jane fonda,19,20,21,10,25,11
consuelo gómez,12,5,20,17,25
john doman,9,19,13,5,20,17,3,10,25,14
carl weathers,0,12,19,5,20,17,24,14,11
peter wingfield,1,19,11
paul anderson,12,9,5,20,17,3,10,22
chase ellison,19,20,21,10,25
ashley bell,5,20,24
shailene woodley,19,20,25
karl e. landler,20
scott vance,20,3,8,23
j.d. williams,20
marilyn norry,5,11
clint howard,12,1,19,5,20,24,21,25,14,11
sammo kam-bo hung,0,12,19,20,17,22
bokeem woodbine,12,9,19,5,20,17,24,3,21,10,11,8
josé wilker,20,10,25
christina chambers,20,14
taylor cole,12,5,17
ryan cartwright,19,10,25,22
mike brett,16,10
andrew rannells,19,25
jobeth williams,19
channing tatum,0,9,1,17,10,25,11,12,19,13,5,20,21,14,8
darryl hunt,16,17
michael roark,1,20
oksana akinshina,12,9,5,20,17
lynne thigpen,19,5,20,17
germán alcarazu,20,25
david calder,20,17,21
john castle,0,20,22
aidan quinn,0,12,9,1,19,5,20,24,3,21,25,14,8
steve harvey,19,16,20,8
john amos,12,19,5,20,17,24,21,10
vera wilson,19,20
marisa coughlan,9,20
blaine anderson,9,5,20,17
phill lewis,12,19,5,10
maika monroe,9,24
zoe levin,5,20,17
john f. kennedy,16,22
geoffrey holder,12,19,5,20,10,25
osric chau,19,10
kelly preston,12,1,19,5,20,17,21,10,25,14,11,8
parker sawyers,5,20,22
tamara glynn,5,24
mía maestro,20,23
tracy camilla johns,19,25
agata trzebuchowska,20
matthew macfadyen,20,25
rachel skarsten,12,19,24
billy boyd,12,19,5,20,24,21,10
krista allen,12,19,5,24
ryan o'neal,0,9,19,5,20,17,10,22
justin timberlake,12,1,19,13,5,20,17,21,10,25,14,11,8
ebon moss-bachrach,20,21,25
robert peters,19,5,20,17,25
andrea corr,20,3,22,23
scott adsit,9,19,20,10
burt kwouk,12,9,19,5,17,10
evan ross,1,19,20
lisa edelstein,1,19,20,21,25
barney clark,20,17
ashley rickards,19,21
felicia pearson,19,5,25
merry clayton,16,8
michael dorn,12,5,10,11
tony ganios,19
elvis nolasco,19,5,25
erik palladino,9,5,20
melanie papalia,5,24,11
tim meadows,1,19,21,10,25,14,11,8
amiah miller,24
sebastian blomberg,5,24
madeleine albright,16,22,8
jeremy crutchley,12,5,20,17,11
joe turkel,20,24
matt king,12,20,17,3
amy carson,20,25,23
ricardo montalban,19,20,25,8,23
mihalis giannatos,0,20,25,8
jill talley,19,20
nicholas turturro,12,1,19,5,20,25,8
buzz aldrin,16,22
tessa thompson,5,24
marshal hilton,24
jane curtin,19,25
louis walsh,16
charles mesure,9,5,20,24
amber valletta,12,9,1,19,5,20,17,24,21,25
frank welker,12,1,19,13,5,20,24,21,10,25,22,23
peter robbins,1,19,13
mike muscat,20,21,10
ed skrein,12,19,5,17,10,25,11
agnes moorehead,1,19,20,21,25,23
jonathan d. mellor,24
david raizor,1
roxane duran,9,20,24,11
joss ackland,12,5,20,17,25
michael michele,5,20,17,25
peng lin,12,20,10,22
blythe danner,1,19,13,5,20,17,21,10,25,22,23
michael greyeyes,0,19,20,3,25,22
rita moreno,19,5,20,17,25,23
jim belushi,0,9,1,17,24,10,25,11,12,19,13,5,20,21,22,23
clint mansell,9,5,20
bobb'e j. thompson,1,19,13,20,17,10,25,11,23
amanda kearsan,19,16,20
sofia vassilieva,20
todd susman,12,20
bob dylan,16,2,20,3,25,8
saïd taghmaoui,12,5,20,17,25
adrian alonso,12,2,10
alan david,20,25
dwight henry,20,21
katherine kelly lang,20,25
elio germano,20,25,23
mark williams,1,19,20,21,10
chase masterson,9,20,25,11,8
maricel álvarez,20
katy helvenston-wettengal,0,16
kelen coleman,19
mike nawrocki,1,19,13,20,10,23
james brolin,0,1,19,5,20,3,10,25,22
fernanda montenegro,20
scott porter,0,12,9,1,19,20,24,25,14,8
xinhua jiang,16
takuya kimura,12,5,20,10,11
michel serrault,19,5,17
amir talai,9,5,20
ryûnosuke kamiki,1,13,21,10
josh swanson,16,20,3,10
dorothy lamour,1,19,5,20,24,21,25
mohammad amir naji,1,20
bonz malone,20
laura ramsey,12,19,16,5,24,21,25
matthew gray gubler,1,19,13,20,21,10,8
april winchell,1,19,13,21,10,11
mahadeo shivraj,1,19,13,21,10
madeline kahn,1,19,13,2,21,10,23
michael j. pollard,12,5,17,24,11
ana gasteyer,19,20,17,11
holt mccallany,12,19,5,24,21,11
veronica ferres,0,20
valarie pettiford,20,25,8
susanne lothar,20,25
lisa ann,16
peter callan,1,20
timothy west,1,19,13,20,21,10,25
robin weigert,20
kuno becker,0,20,25,22,14
rich pecci,19,20
talulah riley,20,25
ariel hsing,16
bianca kajlich,12,19,5,17,24,25
karen allen,12,19,5,20,17,10
raven goodwin,19,20,25
maria doyle kennedy,2,20,10
lauren sweetser,20
gabriela castillo,1
jacob pitts,19
brad lee wind,20,17
annie golden,19,20,17,3,25
behrouz vossoughi,12,10,22
amanda tilson,20,22,14
gavin macleod,0,19,20,21,11
amos oz,16,22
lauren gottlieb,1,19,13,20,21,10,8,23
mathieu kassovitz,0,19,5,20,17,3,25
james hall,0,20
barry bostwick,12,9,19,5,20,17,24,11,23
yûki amami,1,13,21,10
zachery ty bryan,12,5,17
rob riggle,12,1,19,20,17,10,25
lisa ann walter,12,19,5,20,10,25,11
gavin newsom,16
brian steele,12,24,21,10,11
michael douglas,12,9,20,17
takeshi kusao,12,13,11
mike tyson,12,19,20,3,22,14
joel courtney,9,5,20,21,11
alex meraz,12,20,14
craig sheffer,12
emily nelson,12,5,20
albert delpy,20,25
kate higgins,12,1,19,13,5,20,21,10
david costabile,0,12,19,5,20,17,25
wendell pierce,12,9,19,5,20,17,25,8
greg mottola,19,20
collin chou,12,11
claude rains,0,19,20,3,10,25,22
clive russell,12,20,10,25,22
seychelle gabriel,12,1,21,10
clifton james,12,9,5,20,10
jared burke,5,20,17
holly hunter,12,9,1,19,13,5,20,17,21,10,25,8
john forsythe,9,19,20,17,3,25,22
paula jai parker,20,17,8
joshua ray bell,1
katherine mcnamara,19
beatrice straight,20
phil leeds,5,20,21,25
joe pingue,9,5,20,11
peter gerety,9,19,13,5,20,17,24,25
danny woodburn,12,1,19,5,20,17,21,10,25,11
marian dziedziel,12,5,20,17
cameron rhodes,9,19,24
lupe ontiveros,19,20,25
gulshan grover,0,20,25
tiya sircar,1,13,21,10
elizabeth berkley,12,9,19,5,20,17,25
bob clendenin,5,20,24,25
karin viard,19,20,17,8
fereshteh sadre orafaiy,20
liza minnelli,19,20,25,8,23
anthony daniels,12,21,10,11
esther williams,0,19,20,21,25,23
nicola walker,20,17
paprika steen,20
chris lowell,20,25
kenan thompson,12,1,19,13,5,20,17,24,10,11
jet li,0,12,5,20,17,24,21,10,25,22,11
boris kodjoe,12,19,5,20,24,10,25,11,8
cara horgan,0,20
timothy webber,20,17,25
william mapother,9,5,20,17,25,11
demi moore,0,1,2,17,3,10,25,12,19,13,5,20,21,23
miguel sandoval,19,5,17,11
chad l. coleman,12,19,5,17,11
andrew daly,19,20,3,25
ming-na wen,0,12,9,1,19,13,5,24,21,10,25,11,23
lillian adams,19,25
lane smith,1,19,5,20,17,24,14
sean lennon,1,13,21,10
chuck zito,20,17
lee armstrong,24,21
david opatoshu,5
corey johnson,9,5,20,11
nathan jones,12,5,20,17
thomas horn,9,20,10
ralph bellamy,19
debbie harry,9,19,5,20,17,24,11
raquel nave,20,25,23
clive swift,5
lydia wilson,12,5,10,11
lee remick,9,24,21
sarah michelle gellar,12,9,1,19,13,5,20,17,24,21,10,25,11
teala dunn,1,19,13,21,25,23
p.j. soles,5,24
deborra-lee furness,9,5,20,17
austin o'brien,24,11
elaine hendrix,9,19,16,20,21,25,11
zachary knighton,20,17,25
liv ullmann,5,20,17,24
tanya roberts,12,5,21,10
alexis dziena,12,9,19,5,20,17,10,25,8
alan brent,24
kevork malikyan,12,13,5,11
gretchen palmer,19,20,25
carol channing,16
tabu,20,21,10
ricardo chavira,12,5,20,17
yuanyuan gao,0,20,22
jack e. curenton,9,5,20,24
peter polycarpou,20,3,22,23
dewayne warren,20,14
stéphane rousseau,9,19,20,17,25
richard schiff,12,9,1,19,20,17,21,10,25,11
omar metwally,20,25
ron palillo,5,24
ahney her,20
kang-ho song,12,19,5,2,20,24,10,11
joel paul reisig,1
johanna braddy,12,5,24
martin starr,19,20,17,21,25
ian mcdiarmid,12,21,10,11
edward conna,20,25
santiago cabrera,0,20,22
peter mensah,0,12,5,2,20,24,3,21,10,22,11
rosanna desoto,20,3,8
alex veadov,0,12,5,20,10
glenn plummer,19,5,17,8
nathalie baye,20
vanna white,9,24
brendan doogie milewski,16
xzibit,12,5,20,17,10
david moscow,19,25
michael rapaport,0,12,9,19,5,20,17,3,25,11,8
doug brochu,1,19,25
janeane garofalo,12,9,1,19,13,5,20,17,21,10,25,11
judith anderson,20,10,25
horatio sanz,19,25
liza lapira,12,24,10,11
tristan mack wilds,0,12,20,10,22
nicholas hammond,1,20,3,25,23
katie leclerc,1,20,8
travis legge,19,25
léa drucker,5,17,25
samantha mathis,12,9,19,5,20,17,25
swoosie kurtz,19,20,21,25
christopher heyerdahl,12,5,20,17,21,25
angélica sancio,20
arben bajraktaraj,0,20
jonathan silverman,19,5,20,17
jean-marc barr,20
justin chambers,12,5,20,17,10,25
lee scott,16
david white,19,20,25
june squibb,19,20
jeff kober,12,19,5,20,17,24,11
sunil narkar,19
jackie burroughs,5,20,24,11
louise brooks,20,17,25
marlene forte,19,5,20,25
ji-tae yu,9,5,20
darren keefe reiher,19
lon chaney jr.,5,2
tony bennett,16
jimmy bennett,12,9,1,19,5,20,17,24,21,10
luke kirby,19,20
christina milian,12,19,5,20,17,24,11,8
ion overman,19,25
emma bell,20,24,3,14
luigi pistilli,2
natalie welch,1,11
james urbaniak,9,19,5,20,3,11
jonathan morgan heit,1,19,13,10,11
kristen connolly,9,5,24,21,11
charles aznavour,0,20
derek magyar,5,24
chelsea field,1,10
nora arnezeder,5,24
yuqi zhang,1,19,11
margo harshman,9,24
lamman rucker,19,5,20,17
jay hernandez,0,12,1,19,5,20,17,24,10,25,22,14,11
tom welling,1,19,10
kôji yakusho,9,5,17,24
andy cohn,16,14
harry treadaway,1,20,21,10,11
harry carey jr.,12,19,2,24,21,10,25
john gielgud,0,12,9,5,20,3,10,25,22,14
ann dowd,19
maggie cheung,12,20,10,25,22,11,8
malese jow,12,1,19,20,17,21,10,11
piper laurie,9,1,20,17,24,21,10
christian berkel,0,12,19,5,20,10,22
sasha alexander,20,25
dirk bogarde,0,20,22
anna silk,5,20,22
tamala jones,12,1,19,5,20,17,25,8
harrison page,19,20,8
álex angulo,20,25
amanda detmer,19,20,17,25
kim darby,19,5,24,21
ariel gade,19,5,20,24
hannah spearritt,19,5,24,21
joe spinell,5,20,10
jack elam,2
casper martinez,1,20
jamie foreman,1,5,20,17,21,10
deborah kerr,0,20,3,25,22
jeff bridges,0,9,1,2,17,10,25,11,12,19,13,5,20,21,22,14,8
omar benson miller,12,1,19,13,20,21,10,25,8
charlotte rampling,15,12,9,19,16,5,20,17,3,10,25,22,11
lauren holly,12,9,19,5,17,10,8
ted de corsia,9,5,20,17,7
alexandra callas,20
antonia thomas,19
jason maza,20
rosie perez,12,1,19,13,20,17,3,10,25
craig parker,12,5,21,10,11
janet lee dapper,20
edward everett horton,19,25,23
cybill shepherd,19,20,25
clé bennett,20
randy jay burrell,12,2,25,14
erin fitzgerald,1,13,10
ian mcneice,5,20,17
oana pellea,24
barnard hughes,20
brigitte nielsen,12,21,10
rae'ven kelly,20,3,8
bari hyman,19,20,25
chris barrie,12,5,21,10
daniel roebuck,12,9,1,19,5,20,17,24,21,10,25,11
george lazenby,12,5,10
ron silver,19,25
livvy stubenrauch,1,19,13,21,10,23
thomas law,12,19,11
melissa sturm,1,19,13,21,11
frances conroy,12,1,19,5,20,17,3,21,10,25
steven christopher parker,19,20
david schaal,19,20,17
jason cottle,0,12,5,20,10
eddie marsan,0,12,9,5,20,17,3,21,10,25,14
tom sizemore,12,5,11
kathy uyen,5
qi shu,12,5,20,17
ray mckinnon,12,9,5,20,17
marcus chong,12,11
vincent leclerc,19,24,25
jim carter,9,1,19,5,17,21,10
dreama walker,5,20,17,3
dulé hill,9,19,5,20,17
sabrina ferilli,20
david hewlett,9,19,5,20,24,21,25,11
jerry brown,16
clare higgins,24,21
kim thomson,24,21
elina abai kyzy,12,20,3,22
john billingsley,5,20,17,25,11
christoph waltz,0,12,19,5,2,17,20,3,10,25,11
ken siu,12,20,3,14
robert capron,12,1,21,10
lyubov agapova,20,17
marc donato,20,10
angela sarafyan,19,20,25
joyce van patten,1,19,20,14
craig conway,5,24,10
jake busey,0,12,9,1,19,5,20,17,25,11
paul sheehan,5
barbara billingsley,19
tony cox,12,19,2,17,20,21
jason hawes,16
patrick fischler,12,19,5,20,17,10,25,11
steve-o,12,19,16
richard roxburgh,12,1,13,5,20,21,10,25,11,23
rick fox,19,20,17
nina arianda,19,20,3,21,25,8
alexis kendra,9,5,20,24
ana imnadze,0,12,20
sara-marie maltha,20
terence maynard,19,25
stephanie lemelin,9,5,24
jim sturgess,9,5,20,17,21,25,11,23
kevin p. farley,1
eddie peng,12,21,10
maurice compte,12,5,20,17
eugenia khirivskaya,20,10
elisabeth harnois,12,1,19,13,10,11
poppy montgomery,9,19,20
leon,0,12,1,19,5,20,17,24,10,14,11
teyonah parris,19,20,25
dan hedaya,19,5,20,17,25,8
lesley-anne down,5,20,17,10
richard coyle,0,12,19,5,20,24,21,10,25,11
mila kunis,12,9,1,19,5,20,17,21,10,25,11
jansen panettiere,1,21,10
nancy kyes,9,24,11
gene tierney,20,22
patrick st. esprit,20,14
thomas robinson,12,9,1,10,11
tom everett,5,24
franco nero,0,12,5,20,3,21,10,22,11
evan jones,20,8
chris cox,16
radivoje bukvic,12,5,17
tatsuo matsumura,20
jessica dublin,12,19,24,11
trey loney,24,21
maile flanagan,12,1,19,13,10
walter pidgeon,1,20
jean-louis blondeau,16,5,17,3,22
brandon middleton,1
michael berryman,12,5,20,24,21,10,11
al roker,1,19,13,11
cynthia watros,12,20,17
john light,20,25
steve duin,16
vernon wells,12,5,24,10,11
eric peterson,0,20,25
anushka shetty,0,12,20,21,10
jack davenport,12,19,5,20,17,21,10,25
